review_id,title,authors,year,source,doi_or_url,review_type,scope_overlap,k_studies_or_effect,key_finding_summary,reference_list_extracted,notes
ChatGPTMetaAnalysis35Studies2026,"ChatGPT's impact on student learning outcomes: a meta-analysis of 35 experimental studies","Not yet confirmed (verify at full-text)",2026,Nature/Humanities and Social Sciences Communications,https://www.nature.com/articles/s41599-026-07019-z,meta_analysis,objective1_and_2,"k=35 studies, n=4193",Moderately positive effect of ChatGPT on learning outcomes; enhances both cognitive and non-cognitive skills.,N,"WebFetch to source blocked (HTTP 403) in this environment - reference list not yet extracted. Recommend PI download PDF via institutional access for backward citation searching of its 35 included studies."
ChatGPTSystReviewMetaAnalysis2024,"Does ChatGPT enhance student learning? A systematic review and meta-analysis of experimental studies","Not yet confirmed (verify at full-text)",2024,ScienceDirect (Computers & Education),https://www.sciencedirect.com/science/article/pii/S0360131524002380,systematic_review_and_meta_analysis,objective1,"Not yet confirmed (verify at full-text)","Large positive effect on academic achievement; moderated by class size, learning length, ChatGPT role, and region.",N,"Fetch blocked (403). Moderator list itself is a useful Obj3 cross-check even before full reference extraction."
AIGradingFeedbackReview2025,"A comprehensive review of AI-powered grading and tailored feedback in universities","Not yet confirmed (verify at full-text)",2025,Springer (Discover Artificial Intelligence),https://link.springer.com/article/10.1007/s44163-025-00517-0,narrative_review,objective1_and_3,N/A (narrative review),Synthesizes AI grading/feedback capability and effectiveness claims across primary literature.,N,"Fetch blocked (403)."
AdvancingEducationTutoringSystReview2025,"Advancing Education through Tutoring Systems: A Systematic Literature Review","Not yet confirmed (verify at full-text)",2025,arXiv,https://arxiv.org/html/2503.09748v1,systematic_review,objective1_2_and_3,N/A,Reviews tutoring-system literature broadly, likely covering cognitive/non-cognitive outcomes and design moderators.,N,"Open-access (arXiv HTML) - re-attempt fetch in a future session if WebFetch access to arxiv.org is unblocked; useful for backward citation leads."
ChatGPTEngagementPRISMA2024,"AI ChatGPT and student engagement: unraveling dimensions through PRISMA analysis","Not yet confirmed (verify at full-text)",2024,cedtech.net,https://www.cedtech.net/download/ai-chatgpt-and-student-engagement-unraveling-dimensions-through-prisma-analysis-for-enhanced-14334.pdf,systematic_review_prisma,objective2,N/A,PRISMA-based synthesis of ChatGPT-engagement dimensions.,N,"Fetch not yet attempted - candidate for direct PDF download."
ChatGPTEngagementSystReviewMetaAnalysis2025,"How ChatGPT impacts student engagement from a systematic review and meta-analysis study","Not yet confirmed (verify at full-text)",2025,ScienceDirect,https://www.sciencedirect.com/science/article/pii/S2666920X25000013,systematic_review_and_meta_analysis,objective2,"Not yet confirmed (verify at full-text)",Pooled engagement effect of ChatGPT use.,N,"Fetch blocked (403)."
ChatGPTMetaAnalysisRETRACTED2025,"RETRACTED ARTICLE: The effect of ChatGPT on students' learning performance, learning perception, and higher-order thinking: insights from a meta-analysis","Not yet confirmed (verify at full-text)",2025,Nature/Humanities and Social Sciences Communications,https://www.nature.com/articles/s41599-025-04787-y,meta_analysis_RETRACTED,objective1_and_2,"Not yet confirmed (verify at full-text)","Article has been RETRACTED per its own title/listing.",N,"DO NOT use for cross-checking pooled effects without first reading the retraction notice and reason. Flagged prominently: exclude from any confidence-in-evidence comparison until retraction basis is understood; primary studies it may have included should still be checked for eligibility independently, not taken on the retracted analysis's authority."
AISTEMSystReviewMetaAnalysis2025,"The Impact of Artificial Intelligence-Supported Instruction on Student Learning in STEM: A Systematic Review and Meta-Analysis","Not yet confirmed (verify at full-text)",2025,Journal of Intelligence,https://doi.org/10.3390/jintelligence14060109,systematic_review_and_meta_analysis,objective1,"Not yet confirmed (verify at full-text)",Positive effect of AI-supported instruction on STEM learning; subject/level as moderators.,N,"Fetch not yet attempted - MDPI open access, good backward-citation candidate for a future session."
AIAcademicAchievementMetaAnalysis2025,"Examining the effect of artificial intelligence in relation to students' academic achievement: A meta-analysis","Not yet confirmed (verify at full-text)",2025,ScienceDirect,https://www.sciencedirect.com/science/article/pii/S2666920X25000402,meta_analysis,objective1,"Not yet confirmed (verify at full-text)","Not yet confirmed (verify at full-text)",N,"Fetch blocked (403)."
AIEducationMetaAnalysisERIC,"Meta-Analysis of Artificial Intelligence in Education","Not yet confirmed (verify at full-text)",,ERIC,https://files.eric.ed.gov/fulltext/EJ1465704.pdf,meta_analysis,objective1,"Not yet confirmed (verify at full-text)","Not yet confirmed (verify at full-text)",N,"WebFetch attempted and returned HTTP 403 in this environment despite ERIC being open-access; likely a network-policy restriction on this domain from within the sandbox, not a real paywall. Recommend the PI fetch/download directly, or retry from a session with broader web access, to extract this review's included-study reference list for backward citation searching."
GenAIMotivationEngagementSystReviewMetaAnalysis2025,"A systematic review and meta-analysis of the effectiveness of Generative Artificial Intelligence (GenAI) on students' motivation and engagement","Not yet confirmed (verify at full-text)",2025,ScienceDirect,https://www.sciencedirect.com/science/article/pii/S2666920X25000955,systematic_review_and_meta_analysis,objective2,"Not yet confirmed (verify at full-text)","Not yet confirmed (verify at full-text)",N,"Fetch blocked (403). High-priority cross-check target for Objective 2 pooled effect once accessible."
AILearningDisabilitiesSystReview2025,"The Effectiveness of Artificial Intelligence-Based Interventions for Students with Learning Disabilities: A Systematic Review","Not yet confirmed (verify at full-text)",2025,PMC,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12385150/,systematic_review,objective1_2_and_3,"11 studies reviewed",All 11 studies examined reported positive outcomes for students with learning disabilities.,N,"Fetch blocked (403). Special-population subgroup relevant to Objective 3 moderator analysis (disability status) - worth requesting PI verify inclusion criteria overlap with our PICOS."
