study_id,title,authors,year,source_database,doi_or_url,duplicate_of,ta_decision,ta_exclude_reason,ft_decision,ft_exclude_reason,final_included,included_objective1,included_objective2,pi_verified,pi_agree,notes
TutorCoPilot2024,"Tutor CoPilot: A Human-AI Approach for Scaling Real-Time Expertise","Not yet confirmed (verify at full-text)",2024,open_web/arXiv,https://arxiv.org/pdf/2410.03017,,include,,,,,candidate,,,,"RCT design per abstract. Obj3 moderators: AI type=human-AI copilot tutoring support, duration~2 months (Mar-2024 start), setting=live tutoring sessions."
HybridHumanAITutoring2023,"Improving Student Learning with Hybrid Human-AI Tutoring: A Three-Study Quasi-Experimental Investigation","Not yet confirmed (verify at full-text)",2023,open_web/arXiv,https://arxiv.org/pdf/2312.11274,,include,,,,,candidate,,,,"Quasi-experimental, 3 sub-studies. Obj3 moderators: AI type=hybrid human-AI tutoring."
AIGradingPoliSciRCT2024,"AI-assisted grading and personalized feedback in large political science classes: Results from randomized controlled trials","Not yet confirmed (verify at full-text)",2024,open_web/PMC,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12364334/,,include,,,,,candidate,,,,"RCT, ~300 students, 4 undergrad courses, 2023/2024. Obj3 moderators: subject=political science, education_level=higher_ed, AI type=automated grading+feedback."
PaneCognitiveTutorAlgebra2014,"Effectiveness of Cognitive Tutor Algebra I at Scale","Pane, J.F., Griffin, B.A., McCaffrey, D.F., & Karam, R.",2014,open_web/SAGE,https://journals.sagepub.com/doi/abs/10.3102/0162373713507480,,include,,,,,candidate,,,,"Cluster RCT, ~150 schools/7 states, RAND corp, IES-funded. Landmark study, high WWC relevance. Obj3 moderators: duration=multi-year (2007-2010), implementation year (yr1 vs yr2 effects differ), grade=secondary/Algebra I, setting=authentic school implementation. Companion docs: WWC intervention report (ies.ed.gov), ERIC ED616574 - check for duplicate sample overlap at full-text."
AIAdaptiveLearningIJRISS2024,"AI-Based Adaptive Learning Systems and Student Academic Performance","Not yet confirmed (verify at full-text)",2024,open_web/IJRISS,https://rsisinternational.org/journals/ijriss/view/ai-based-adaptive-learning-systems-and-student-academic-performance,,include,,,,,candidate,candidate,,,"Quasi-exp, N=2120 undergrads, traditional vs AI-adaptive group. Obj3 moderators: education_level=higher_ed, outcome=post-test scores+engagement (dual outcome family - flag for both Obj1 and Obj2 coding)."
EfficacyAdaptiveLearningCourseScores2023,"Efficacy of an Adaptive Learning System on Course Scores","Not yet confirmed (verify at full-text)",2023,open_web/MDPI,https://www.mdpi.com/2079-8954/11/1/31,,include,,,,,candidate,,,,"Also indexed via ResearchGate (duplicate record, same DOI family) - see EfficacyAdaptiveLearningCourseScores2023_dup row."
EfficacyAdaptiveLearningCourseScores2023_dup,"Efficacy of an Adaptive Learning System on Course Scores","Not yet confirmed (verify at full-text)",2023,open_web/ResearchGate,https://www.researchgate.net/publication/366943817_Efficacy_of_an_Adaptive_Learning_System_on_Course_Scores,EfficacyAdaptiveLearningCourseScores2023,,,,,,,,,,"Duplicate of MDPI record (same study, mirrored on ResearchGate)."
AdaptiveECoursePriorKnowledge2020,"The impact of an adaptive e-course on students' achievements based on the students' prior knowledge","Not yet confirmed (verify at full-text)",2020,open_web/Springer,https://link.springer.com/article/10.1007/s10639-020-10125-3,,include,,,,,candidate,,,,"Obj3 moderators: prior knowledge as moderator variable, adaptivity level."
AdaptiveLearningStrategySLE2024,"Improving the learning-teaching process through adaptive learning strategy","Not yet confirmed (verify at full-text)",2024,open_web/Springer(SLE),https://slejournal.springeropen.com/articles/10.1186/s40561-024-00314-9,,include,,,,,candidate,,,,"Mirrored at link.springer.com (duplicate) - see _dup row."
AdaptiveLearningStrategySLE2024_dup,"Improving the learning-teaching process through adaptive learning strategy","Not yet confirmed (verify at full-text)",2024,open_web/Springer,https://link.springer.com/article/10.1186/s40561-024-00314-9,AdaptiveLearningStrategySLE2024,,,,,,,,,,"Duplicate mirror of SLE journal record."
AIBasedAssessmentExperiment2024,"An Experiment of AI-Based Assessment: Perspectives of Learning Preferences, Benefits, Intention, Technology Affinity, and Trust","Not yet confirmed (verify at full-text)",2024,open_web/MDPI,https://www.mdpi.com/2227-7102/14/12/1386,,include,,,,,candidate,candidate,,,"Experimental design per title. Obj3 moderators: technology affinity/trust as moderators. Dual outcome family - check both cognitive perf and non-cognitive perception measures at full-text."
AIInteractiveLearningPlatformExp2025,"An Experimental Evaluation of an AI-Powered Interactive Learning Platform","Not yet confirmed (verify at full-text)",2025,open_web/arXiv,https://arxiv.org/pdf/2509.18664,,include,,,,,candidate,,,,"Explicitly experimental per title."
MetacognitiveAIFeedback2025,"How Adding Metacognitive Requirements in Support of AI Feedback in Practice Exams Transforms Student Learning Behaviors","Not yet confirmed (verify at full-text)",2025,open_web/arXiv,https://arxiv.org/pdf/2505.13381,,include,,,,,candidate,candidate,,,"Obj3 moderators: metacognitive scaffolding as mechanism/theoretical construct - directly relevant to Objective 3 mechanism coding."
AIFeedbackPhysicsAutonomy2025,"How Students Use AI Feedback Matters: Experimental Evidence on Physics Achievement and Autonomy","Not yet confirmed (verify at full-text)",2025,open_web/arXiv,https://arxiv.org/pdf/2505.08672,,include,,,,,candidate,candidate,,,"Explicit experimental evidence, subject=physics. Reports moderation by prior achievement level (low/medium/high) and feedback control mode (learner-controlled vs fixed) - strong Obj3 moderator study. Dual outcome: achievement (Obj1) + autonomy (Obj2)."
