study_id,effect_id,citation,country,publication_type,publication_year,education_level,subject_domain,n_treatment,n_control,age_mean,ai_intervention_type,ai_intervention_description,comparator_type,duration_weeks,dosage_sessions,study_design,wwc_rating,outcome_family,outcome_subtype,outcome_measure_name,outcome_timing,stat_type_reported,mean_treatment,sd_treatment,mean_control,sd_control,t_or_f_value,es_metric,es_value,es_variance,ai_adaptivity_level,feedback_immediacy,personalization_level,teacher_role,theoretical_mechanism,mechanism_tested_or_assumed,implementation_fidelity,extracted_by,pi_verified,notes
Cheng2020,Cheng2020_1,"Cheng et al. (2020). Artificial intelligence-based education assists medical students' interpretation of hip fracture. Insights into Imaging, 11:119.",Taiwan,journal,2020,higher_ed,medical_imaging_radiology,15,15,24,ai_assessment_feedback_system,"HipGuide: DenseNet-121 deep-learning system highlighting probable hip-fracture site via grad-CAM heatmap on pelvic radiographs, used for one augmented practice test session",business_as_usual,1,1,RCT,meets_with_reservations,cognitive,diagnostic_accuracy_gain,"Gained diagnostic accuracy (posttest minus prelearning accuracy, % correct hip-fracture PXR interpretation)",posttest,means_sd,9.2,6.9,2.8,9.3,,hedges_g,,,ML_adaptive,immediate,medium,supplemented,immediate_feedback,assumed_theoretically,high,AI,N,"Single-center RCT (coin-flip randomization), N=30 medical students. Gain score (post-pre) compared between independent AIL vs CL groups. Effect 1 of 3 from this study (Table 2 reports 3 separate diagnostic-performance gain scores: accuracy, sensitivity, specificity - kept as separate, dependent effect sizes rather than averaged)."
Cheng2020,Cheng2020_2,"Cheng et al. (2020). Artificial intelligence-based education assists medical students' interpretation of hip fracture. Insights into Imaging, 11:119.",Taiwan,journal,2020,higher_ed,medical_imaging_radiology,15,15,24,ai_assessment_feedback_system,"Same HipGuide intervention as Cheng2020_1",business_as_usual,1,1,RCT,meets_with_reservations,cognitive,diagnostic_sensitivity_gain,"Gained diagnostic sensitivity (posttest minus prelearning sensitivity, % correct hip-fracture-positive PXR detection)",posttest,means_sd,9.1,1.7,2.9,1.4,,hedges_g,,,ML_adaptive,immediate,medium,supplemented,immediate_feedback,assumed_theoretically,high,AI,N,"Effect 2 of 3 from this study; dependent with Cheng2020_1/3 (same 15/15 sample). DATA-QUALITY FLAG: SD is an order of magnitude smaller than the accuracy-gain SD (6.9/9.3) from the same sample/table, yielding an unusually large Hedges' g (~3.9). Kept as literally printed in the source paper per PI decision (2026-07-08) rather than silently rescaled/excluded; report this as a limitation/sensitivity-analysis candidate in the dissertation write-up."
Cheng2020,Cheng2020_3,"Cheng et al. (2020). Artificial intelligence-based education assists medical students' interpretation of hip fracture. Insights into Imaging, 11:119.",Taiwan,journal,2020,higher_ed,medical_imaging_radiology,15,15,24,ai_assessment_feedback_system,"Same HipGuide intervention as Cheng2020_1",business_as_usual,1,1,RCT,meets_with_reservations,cognitive,diagnostic_specificity_gain,"Gained diagnostic specificity (posttest minus prelearning specificity, % correct normal-PXR identification)",posttest,means_sd,9.3,1.8,2.6,1.1,,hedges_g,,,ML_adaptive,immediate,medium,supplemented,immediate_feedback,assumed_theoretically,high,AI,N,"Effect 3 of 3 from this study; dependent with Cheng2020_1/2 (same 15/15 sample). DATA-QUALITY FLAG: same concern as Cheng2020_2 - SD implausibly small vs. the accuracy-gain SD from the same table, yielding g~4.4. Kept as literally printed per PI decision (2026-07-08)."
Lee2022,Lee2022_1,"Lee, Y.-F., Hwang, G.-J., & Chen, P.-Y. (2022). Impacts of an AI-based chatbot on college students' after-class review, academic performance, self-efficacy, learning attitude, and motivation. ETR&D, 70:1843-1865.",Taiwan,journal,2022,higher_ed,public_health,18,20,,ai_based_chatbot,AI chatbot 'Disease Stewardship' app (T-BERT NLP model) used for after-class review of infectious-disease unit; students posed case questions and received chatbot advice vs conventional teacher-led review,business_as_usual,2,4,quasi_experimental_pretest_posttest,meets_with_reservations,cognitive,achievement,Post-test academic performance (public health knowledge test),posttest,means_sd,66.33,10.39,57.4,12.33,,hedges_g,,,rule_based,immediate,medium,supplemented,immediate_feedback,tested_empirically,high,AI,N,"Quasi-experiment, intact classes (2 sections of same course, same instructor). Effect 1 of 4 from this study (cognitive outcome)."
Lee2022,Lee2022_2,"Lee, Y.-F., Hwang, G.-J., & Chen, P.-Y. (2022). Impacts of an AI-based chatbot on college students' after-class review, academic performance, self-efficacy, learning attitude, and motivation. ETR&D, 70:1843-1865.",Taiwan,journal,2022,higher_ed,public_health,18,20,,ai_based_chatbot,Same AI chatbot review intervention as Lee2022_1,business_as_usual,2,4,quasi_experimental_pretest_posttest,meets_with_reservations,noncognitive,self_efficacy,Post-test self-efficacy questionnaire (Pintrich et al. 1991 MSLQ subscale),posttest,means_sd,4.15,0.5,3.61,0.38,,hedges_g,,,rule_based,immediate,medium,supplemented,immediate_feedback,tested_empirically,high,AI,N,"Effect 2 of 4 from this study (non-cognitive outcome); shares same treatment/control samples as Lee2022_1, Lee2022_3, Lee2022_4 (dependent effect sizes, same study)."
Lee2022,Lee2022_3,"Lee, Y.-F., Hwang, G.-J., & Chen, P.-Y. (2022). Impacts of an AI-based chatbot on college students' after-class review, academic performance, self-efficacy, learning attitude, and motivation. ETR&D, 70:1843-1865.",Taiwan,journal,2022,higher_ed,public_health,18,20,,ai_based_chatbot,Same AI chatbot review intervention as Lee2022_1,business_as_usual,2,4,quasi_experimental_pretest_posttest,meets_with_reservations,noncognitive,attitude,Post-test learning attitude questionnaire (Hwang et al. 2013),posttest,means_sd,4.36,0.59,3.67,0.47,,hedges_g,,,rule_based,immediate,medium,supplemented,immediate_feedback,tested_empirically,high,AI,N,Effect 3 of 4 from this study (non-cognitive outcome); dependent with Lee2022_1/2/4 (same sample).
Lee2022,Lee2022_4,"Lee, Y.-F., Hwang, G.-J., & Chen, P.-Y. (2022). Impacts of an AI-based chatbot on college students' after-class review, academic performance, self-efficacy, learning attitude, and motivation. ETR&D, 70:1843-1865.",Taiwan,journal,2022,higher_ed,public_health,18,20,,ai_based_chatbot,Same AI chatbot review intervention as Lee2022_1,business_as_usual,2,4,quasi_experimental_pretest_posttest,meets_with_reservations,noncognitive,motivation,Post-test learning motivation questionnaire (Wang & Chen 2010),posttest,means_sd,4.22,0.52,3.67,0.36,,hedges_g,,,rule_based,immediate,medium,supplemented,immediate_feedback,tested_empirically,high,AI,N,Effect 4 of 4 from this study (non-cognitive outcome); dependent with Lee2022_1/2/3 (same sample).
Tegos2016,Tegos2016_U,"Tegos, S., Demetriadis, S., Papadopoulos, P.M., & Weinberger, A. (2016). Conversational agents for academically productive talk. IJCSCL, 11:417-440.",Greece,journal,2016,higher_ed,computer_science_HCI,32,32,20.58,conversational_agent,"Undirected (U) academically-productive-talk conversational agent prompting dyad peers jointly to build on prior knowledge during online chat-based collaborative task, vs no-agent control dyads",no_intervention,1,1,RCT,meets_standards,cognitive,knowledge_gain,Individual post-test domain knowledge score (HCI usability principles),posttest,means_sd,11.95,3.99,10.13,4.48,,hedges_g,,,rule_based,immediate,low,unchanged,scaffolding,tested_empirically,high,AI,N,"Random allocation of dyads to control/U/D conditions (16 dyads = 32 students each). Shares the same control group as Tegos2016_D (dependent effect sizes, same study)."
Tegos2016,Tegos2016_D,"Tegos, S., Demetriadis, S., Papadopoulos, P.M., & Weinberger, A. (2016). Conversational agents for academically productive talk. IJCSCL, 11:417-440.",Greece,journal,2016,higher_ed,computer_science_HCI,32,32,20.58,conversational_agent,"Directed (D) academically-productive-talk conversational agent addressing one specific dyad peer to build on prior knowledge during online chat-based collaborative task, vs no-agent control dyads",no_intervention,1,1,RCT,meets_standards,cognitive,knowledge_gain,Individual post-test domain knowledge score (HCI usability principles),posttest,means_sd,14.01,3.68,10.13,4.48,,hedges_g,,,rule_based,immediate,high,unchanged,scaffolding,tested_empirically,high,AI,N,"Random allocation of dyads to control/U/D conditions. Shares the same control group as Tegos2016_U (dependent effect sizes, same study)."
Yang2023,Yang2023_GAIER,"Yang, Q.-F., Lian, L.-W., & Zhao, J.-H. (2023). Developing a gamified artificial intelligence educational robot to promote learning effectiveness and behavior in laboratory safety courses. IJETHE, 20:18.",China,journal,2023,higher_ed,laboratory_safety,18,16,20,gamified_ai_educational_robot,"GAIER: gamified AI educational robot (Cruzr dialogue system + Seewo app) built on the GAFCC gamification model (goal/access/feedback/challenge/collaboration), vs traditional PPT-based instruction (TI group)",business_as_usual,1,1,quasi_experimental_pretest_posttest,meets_with_reservations,cognitive,achievement,Post-test laboratory-safety knowledge test,posttest,means_sd,86.06,8.21,68.5,15.12,,hedges_g,,,ML_adaptive,immediate,high,replaced,motivational_design,tested_empirically,high,AI,N,"Random assignment of intact classes to GAIER/AR/TI groups (single 45-min session). Shares the same TI control group as Yang2023_AR (dependent effect sizes, same study)."
